Datetime;Ticker;superior_POI;Close;Timeframe;DIRECTION;first_fractal_Datetime;first_fractal;first_fractal_price;second_fractal_Datetime;second_fractal;second_fractal_price
2021-12-20 07:00:00+00:00;GBPCAD;6;1,7050199508666992;H4;;2021-12-08 11:00:00+00:00;lower_low;1,6651954804925788;2021-12-15 07:00:00+00:00;lower_high;1,7076379606953562
2021-12-20 08:00:00+00:00;GBPCAD;6;1,7050199508666992;H3;;2021-12-08 14:00:00+00:00;lower_low;1,6651954804925788;2021-12-15 08:00:00+00:00;lower_high;1,7076379606953562
2021-12-20 11:00:00+00:00;GBPCAD;6;1,708359956741333;H2;;2021-12-08 13:00:00+00:00;lower_low;1,6651954804925788;2021-12-15 07:00:00+00:00;lower_high;1,7076379606953562
2021-12-01 00:00:00;GBPCAD;6;1,702139973640442;MO;;2017-01-01 00:00:00;higher_low;1,5738828220344965;2020-03-01 00:00:00;lower_high;1,803315676419179
2021-12-13 00:00:00;GBPCAD;6;1,701238036155701;W1;;2020-12-21 00:00:00;higher_low;1,5952010846002045;2021-02-22 00:00:00;lower_high;1,7857642666306566
2021-12-17 00:00:00;GBPCAD;6;1,702139973640442;D1;SELL;2021-08-20 00:00:00;lower_high;1,7624023649913465;2021-11-05 00:00:00;lower_low;1,6731848374691038
2021-12-19 23:00:00+00:00;GBPAUD;6;1,856619954109192;H12;;2021-12-03 11:00:00+00:00;lower_high;1,8909928486836336;2021-12-08 23:00:00+00:00;higher_low;1,8394913638122408
2021-12-19 23:00:00+00:00;GBPAUD;6;1,8631199598312376;H8;;2021-12-03 15:00:00+00:00;lower_high;1,8909928486836336;2021-12-08 23:00:00+00:00;higher_low;1,8394913638122408
2021-12-20 05:00:00+00:00;GBPAUD;6;1,856619954109192;H6;;2021-12-03 17:00:00+00:00;lower_high;1,8909928486836336;2021-12-09 05:00:00+00:00;higher_low;1,8394913638122408
2021-12-20 07:00:00+00:00;GBPAUD;6;1,856619954109192;H4;;2021-12-09 03:00:00+00:00;higher_low;1,8394913638122408;2021-12-14 19:00:00+00:00;lower_high;1,863000484089656
2021-12-20 08:00:00+00:00;GBPAUD;6;1,856619954109192;H3;;2021-12-09 05:00:00+00:00;lower_low;1,8394913638122408;2021-12-14 20:00:00+00:00;lower_high;1,863000484089656
2021-12-20 11:00:00+00:00;GBPAUD;6;1,8595000505447388;H2;;2021-12-09 05:00:00+00:00;lower_low;1,8394913638122408;2021-12-14 21:00:00+00:00;lower_high;1,863000484089656
2021-12-01 00:00:00;GBPAUD;6;1,8566099405288696;MO;;2015-08-01 00:00:00;lower_high;2,230120134722187;2016-10-01 00:00:00;higher_low;1,5789824217386317
2021-12-13 00:00:00;GBPAUD;6;1,851500034332276;W1;;2020-03-16 00:00:00;higher_high;2,08786477811888;2020-12-28 00:00:00;lower_low;1,500086791497552
